"student_id","program_id","cohort_year","age","gender","first_gen","year_in_prog","funding","social_support","advisor_quality","hours_worked","imp1","imp2","imp3","imp4","imp5","stress1","stress2","stress3","stress4","stress5","wellbeing","counseling"
62,"prog_5","cohort_1",29,"woman",1,3,"fellowship",6.1,3.4,45,3,3,2,2,1,4,5,5,5,4,46.7,1
63,"prog_2","cohort_2",20,"man",0,3,"RA",7.2,3.9,58,3,3,3,4,3,4,3,2,2,1,50.3,0
64,"prog_2","cohort_1",25,"man",1,2,"fellowship",7.1,4.2,66,2,3,2,3,3,2,1,2,3,2,36.8,0
65,"prog_1","cohort_1",26,"man",1,1,"TA",3.9,4.5,46,1,2,2,2,2,3,4,4,5,4,35.5,1
66,"prog_3","cohort_2",23,"man",0,1,"RA",5.8,6,55,3,2,3,2,3,2,3,3,2,3,70.7,0
67,"prog_4","cohort_3",21,"woman",1,3,"TA",6.8,6.1,66,1,1,1,1,1,4,5,4,4,5,51,1
68,"prog_5","cohort_2",31,"man",0,6,"fellowship",4.9,4.5,68,2,3,2,2,2,4,5,5,4,5,27,1
69,"prog_6","cohort_1",24,"man",0,1,"RA",8.1,4.1,51,2,2,2,3,2,3,3,3,4,3,48.7,0
70,"prog_3","cohort_1",27,"man",0,6,"fellowship",3.4,4.1,52,3,2,3,3,2,2,3,3,3,3,41.4,0
71,"prog_1","cohort_2",30,"woman",0,2,"RA",6.6,5.8,42,2,2,4,3,2,4,4,4,5,4,77.2,0
72,"prog_1","cohort_2",27,"woman",0,2,"TA",4.2,7.8,68,3,4,3,2,2,4,4,3,4,4,44.9,0
73,"prog_3","cohort_3",20,"woman",0,1,"TA",5.7,2.2,62,2,2,1,2,2,5,5,5,5,5,46.1,1
74,"prog_3","cohort_1",28,"woman",1,1,"fellowship",6.8,4.6,44,3,3,3,3,2,2,2,3,2,2,73.1,0
75,"prog_6","cohort_1",24,"nonbinary",0,4,"TA",4,5.8,57,5,4,4,5,3,3,4,4,4,3,22.5,1
76,"prog_1","cohort_2",26,"man",0,1,"unfunded",3.8,5.5,53,4,4,4,3,2,2,1,3,2,2,54,1
77,"prog_1","cohort_2",28,"man",0,3,"RA",4.9,3.3,57,4,4,3,4,4,3,3,2,2,2,25.2,1
78,"prog_5","cohort_1",24,"woman",0,3,"RA",6,6.2,68,4,4,4,4,5,1,2,2,2,2,51.6,1
79,"prog_3","cohort_1",25,"man",0,2,"fellowship",5.2,4.3,49,1,1,1,1,1,4,4,4,4,4,47.8,0
80,"prog_5","cohort_3",26,"woman",0,1,"TA",6.9,6,60,3,2,3,2,2,3,1,2,3,2,65,0
81,"prog_4","cohort_3",25,"woman",0,2,"TA",5.5,7.8,66,1,2,1,1,1,3,3,3,3,3,64.9,0
82,"prog_3","cohort_2",26,"woman",1,1,"fellowship",6.2,6.2,67,3,3,3,2,3,4,3,2,3,3,64,1
83,"prog_4","cohort_2",27,"woman",0,2,"RA",4.1,3.8,50,3,4,4,3,3,2,3,2,2,2,51.4,0
84,"prog_5","cohort_3",21,"woman",1,2,"fellowship",4.5,5.2,44,3,2,2,3,3,2,2,2,1,2,51.5,0
85,"prog_6","cohort_3",27,"man",0,3,"TA",4.7,4,63,5,5,4,5,4,5,4,5,5,4,8.8,1
86,"prog_4","cohort_1",25,"man",0,6,"TA",6.3,7.2,51,4,4,3,3,3,2,2,2,2,1,54.1,0
87,"prog_6","cohort_1",27,"woman",0,2,"fellowship",7,5.2,66,5,3,4,3,4,3,3,4,3,3,67.6,0
88,"prog_1","cohort_1",34,"man",1,1,"unfunded",4.4,8,65,2,1,3,2,2,3,3,3,3,4,45.1,0
89,"prog_1","cohort_3",31,"woman",0,6,"fellowship",6.6,1.6,45,2,1,1,2,1,3,3,3,3,4,49.7,0
90,"prog_4","cohort_3",28,"nonbinary",1,5,"RA",7.2,7.2,70,4,3,4,4,2,2,2,2,2,3,46.5,1
91,"prog_6","cohort_1",28,"woman",0,3,"RA",3.2,6.2,55,1,3,2,2,2,3,3,2,4,2,37.4,0
92,"prog_3","cohort_2",21,"woman",1,3,"RA",4.4,3.5,47,2,2,3,3,2,4,2,3,4,3,43.6,0
93,"prog_2","cohort_2",34,"woman",1,1,"fellowship",4.9,6.4,61,3,3,2,2,1,4,4,4,4,4,43.6,1
94,"prog_3","cohort_1",30,"woman",0,1,"fellowship",6.5,7.8,42,4,4,4,5,5,1,1,2,1,1,79,0
95,"prog_2","cohort_3",28,"man",1,1,"fellowship",6.6,5.6,46,3,3,5,4,4,3,3,3,3,3,48.3,0
96,"prog_3","cohort_2",26,"woman",1,5,"RA",7.5,3.4,61,4,3,5,4,4,5,5,5,5,5,54.5,1
97,"prog_4","cohort_1",32,"woman",1,1,"TA",4.6,5.4,53,4,3,2,2,3,4,4,3,4,3,55.2,1
98,"prog_1","cohort_3",30,"man",0,3,"fellowship",5.2,6.9,62,3,4,4,3,2,2,2,2,2,2,46.8,0
99,"prog_2","cohort_1",28,"woman",1,6,"fellowship",6.1,3.8,64,4,2,3,3,3,5,5,4,5,4,43.8,1
100,"prog_1","cohort_2",26,"woman",0,2,"fellowship",2.8,2.7,71,1,1,1,2,2,3,4,3,2,3,37.8,0
101,"prog_5","cohort_2",22,"man",0,5,"TA",6.7,6.8,62,3,4,4,3,3,3,3,3,3,2,42.3,0
102,"prog_6","cohort_1",29,"woman",1,3,"unfunded",6.1,4.6,64,3,3,2,2,2,3,3,3,3,3,45.7,1
103,"prog_6","cohort_3",29,"woman",0,2,"unfunded",3.4,2.9,49,3,3,3,2,3,4,5,4,5,5,40.8,1
104,"prog_4","cohort_1",28,"woman",0,5,"RA",5,2.7,53,2,1,2,1,2,3,3,3,3,3,59.2,0
105,"prog_3","cohort_3",27,"man",0,2,"TA",4,7,68,3,2,3,3,3,3,3,3,3,2,31.2,1
106,"prog_1","cohort_3",29,"woman",0,4,"RA",6.6,5,51,1,2,2,1,2,2,2,2,2,3,74.1,0
107,"prog_3","cohort_3",28,"woman",1,1,"unfunded",4,5.2,56,3,2,3,2,2,3,2,3,3,3,44.9,0
108,"prog_5","cohort_2",26,"woman",1,1,"TA",4.9,6.1,37,3,2,3,3,3,4,4,4,4,4,50.8,0
109,"prog_3","cohort_3",29,"woman",0,1,"unfunded",3.1,6,39,4,3,3,4,4,5,4,4,4,4,48.1,1
110,"prog_3","cohort_1",26,"man",1,1,"TA",7,3.8,49,4,5,5,4,5,3,4,4,4,2,41.4,1
111,"prog_1","cohort_2",29,"man",0,3,"fellowship",6.2,1.4,66,3,2,4,2,3,3,2,2,4,3,41,0
112,"prog_4","cohort_2",26,"woman",0,2,"RA",4.3,5.8,54,3,3,4,4,3,2,2,2,3,2,50.2,0
113,"prog_6","cohort_3",27,"woman",0,3,"TA",5.6,3.5,62,2,3,3,2,2,4,5,4,5,5,52.9,1
114,"prog_6","cohort_3",26,"woman",0,4,"TA",5.9,3.2,54,4,4,3,4,3,3,4,3,3,4,49.1,0
115,"prog_5","cohort_2",29,"woman",1,3,"TA",4.6,6.3,46,5,3,4,4,3,4,2,3,2,3,45.8,1
116,"prog_3","cohort_1",29,"man",0,3,"fellowship",8.8,4.4,42,2,2,2,2,3,3,3,3,4,4,58.7,0
117,"prog_6","cohort_1",29,"woman",0,2,"TA",5.6,4.5,44,1,1,2,1,2,2,3,2,2,2,64.4,1
118,"prog_3","cohort_2",25,"nonbinary",0,3,"TA",5.1,3.4,79,4,3,2,2,4,1,1,2,1,3,39.1,1
119,"prog_1","cohort_1",26,"man",0,4,"RA",2.1,5.7,58,2,1,2,3,2,2,2,1,1,2,34.7,0
120,"prog_5","cohort_2",26,"woman",0,2,"fellowship",7.2,4,54,3,3,3,4,3,3,2,2,2,3,66.2,0
121,"prog_2","cohort_1",28,"woman",0,2,"TA",5.4,4.1,47,3,3,3,3,4,3,3,3,3,3,57.1,1
122,"prog_2","cohort_3",24,"man",1,6,"TA",1.9,5.5,62,3,2,3,3,2,4,3,4,4,4,31.8,1
123,"prog_3","cohort_3",28,"man",0,1,"RA",4.9,3.6,52,3,3,3,3,3,4,4,4,5,3,39.4,1
124,"prog_2","cohort_2",27,"woman",0,2,"TA",5.4,5.7,50,2,2,2,2,2,3,4,3,2,3,69.9,0
125,"prog_2","cohort_1",27,"woman",0,3,"fellowship",1.6,4.3,71,3,2,2,3,2,1,2,2,3,2,17.7,0
126,"prog_1","cohort_3",24,"woman",0,4,"TA",3.1,6.1,46,3,2,2,3,3,3,3,3,3,3,44.6,1
127,"prog_3","cohort_1",24,"woman",0,1,"unfunded",6.1,5.4,54,3,2,3,3,2,3,3,2,4,3,69.3,0
128,"prog_6","cohort_2",30,"man",0,2,"RA",5.5,3.8,63,5,5,5,5,4,2,2,2,3,1,24.1,0
129,"prog_2","cohort_3",25,"nonbinary",0,3,"fellowship",5.9,3.7,47,3,3,3,3,3,4,4,4,5,4,39.1,1
130,"prog_3","cohort_2",28,"woman",0,4,"fellowship",5.1,4.1,63,4,3,4,4,3,1,2,2,1,1,55.1,1
131,"prog_3","cohort_2",30,"man",1,2,"fellowship",4.8,5.2,43,2,2,2,2,2,2,4,4,4,3,45.9,0
132,"prog_5","cohort_3",30,"nonbinary",1,5,"fellowship",4.8,3.8,41,3,2,2,3,3,3,5,4,4,3,34.4,1
133,"prog_6","cohort_1",31,"man",0,1,"TA",5.5,3.5,47,3,4,5,3,3,3,3,3,4,4,39.8,0
134,"prog_6","cohort_3",31,"woman",0,3,"fellowship",5.3,5,55,2,2,3,2,2,3,3,3,3,4,66.7,1
135,"prog_1","cohort_2",24,"woman",0,1,"fellowship",7.3,4.3,52,4,4,3,4,4,5,5,5,5,5,49.5,1
136,"prog_2","cohort_3",29,"woman",0,3,"fellowship",5.1,4.4,62,3,3,4,2,3,4,4,4,4,4,53.7,1
137,"prog_3","cohort_1",29,"man",0,6,"fellowship",4.8,6,48,3,3,3,5,3,2,3,3,3,4,57.6,0
138,"prog_5","cohort_1",29,"woman",0,1,"TA",7.2,4.7,62,2,3,2,3,3,4,4,5,5,5,55.8,0
139,"prog_5","cohort_3",24,"woman",0,5,"fellowship",5.4,7.2,36,4,4,3,3,3,2,3,2,2,3,55.3,0
140,"prog_2","cohort_3",29,"woman",1,1,"RA",5,6.1,54,3,2,2,2,2,4,4,4,4,4,54.4,0
141,"prog_5","cohort_3",24,"man",0,6,"fellowship",5.4,4.5,60,2,2,3,2,2,2,2,1,1,1,33.2,0
142,"prog_4","cohort_1",32,"woman",0,1,"unfunded",5,6.2,79,3,2,3,2,2,5,5,5,5,4,55.9,1
143,"prog_5","cohort_2",31,"man",0,3,"fellowship",5,5.9,63,5,5,3,5,4,5,5,5,5,5,23.5,0
144,"prog_2","cohort_2",26,"woman",0,4,"fellowship",3.8,2.5,47,4,3,2,3,2,4,3,3,3,4,54.1,0
145,"prog_1","cohort_3",30,"man",0,2,"RA",4.6,6.9,68,3,2,3,3,3,3,3,3,4,4,40.3,1
146,"prog_5","cohort_2",24,"woman",1,2,"fellowship",7.1,4,49,5,4,3,4,4,2,3,3,4,3,58.9,0
147,"prog_4","cohort_1",29,"man",1,6,"RA",6,4.8,66,2,3,1,3,3,1,2,2,1,1,53.8,1
148,"prog_6","cohort_2",30,"man",0,3,"TA",6.6,4.9,53,1,2,2,1,1,2,2,2,3,3,47.1,0
149,"prog_1","cohort_1",27,"man",0,2,"TA",7.5,8.1,59,1,2,1,1,1,3,3,3,4,4,60,1
150,"prog_6","cohort_1",29,"woman",0,2,"TA",5.4,3.6,65,4,3,4,3,3,3,4,4,4,4,36.1,1
151,"prog_5","cohort_3",32,"woman",0,4,"fellowship",4.6,5.2,56,2,2,1,1,2,5,4,3,4,3,50.9,1
152,"prog_2","cohort_1",27,"woman",0,6,"TA",3.8,4.3,58,3,4,3,2,4,3,2,3,3,3,50.4,1
153,"prog_2","cohort_1",29,"woman",1,1,"RA",5.2,5.8,54,3,4,3,4,4,4,3,3,3,4,48.3,0
154,"prog_5","cohort_3",28,"woman",0,1,"unfunded",3.5,3.1,33,3,4,3,2,3,4,4,5,3,3,42.7,0
155,"prog_2","cohort_2",24,"man",1,1,"fellowship",7.3,4.5,61,3,2,3,2,3,3,4,3,2,3,58.9,0
156,"prog_1","cohort_3",23,"man",1,2,"RA",5.2,6,51,1,3,3,3,2,4,4,4,4,4,46,0
157,"prog_3","cohort_3",27,"man",0,3,"TA",4.1,4.4,61,3,2,3,2,3,4,3,4,5,4,39.4,0
158,"prog_1","cohort_3",31,"woman",1,5,"TA",4.9,3.7,46,4,4,3,3,4,3,3,3,3,3,45,0
159,"prog_1","cohort_1",26,"man",0,5,"fellowship",5.9,2.7,57,2,2,2,2,2,4,5,5,5,4,34,0
160,"prog_2","cohort_3",20,"woman",0,4,"TA",4.7,3.2,54,3,4,3,3,4,3,3,2,3,3,58.2,0
161,"prog_1","cohort_3",28,"woman",0,2,"fellowship",3.2,5.3,59,3,2,2,3,2,5,5,4,5,4,40.2,1
162,"prog_1","cohort_3",26,"woman",0,5,"RA",4.9,6.7,48,1,1,1,1,1,4,4,3,4,5,66,0
163,"prog_2","cohort_2",23,"man",0,5,"TA",5,7.8,45,1,2,2,1,2,3,3,3,3,3,56.2,0
164,"prog_5","cohort_1",23,"man",0,4,"unfunded",5.4,7.1,45,3,4,4,4,4,3,3,2,3,3,39.5,1
165,"prog_5","cohort_3",26,"man",1,3,"TA",7.1,4.7,46,2,3,3,2,3,2,3,3,2,3,54.8,1
166,"prog_3","cohort_2",26,"woman",0,2,"RA",5.6,4.9,55,4,3,5,3,4,2,3,2,3,3,61.6,0
167,"prog_1","cohort_1",27,"man",0,5,"RA",5.5,7,76,3,4,3,4,3,3,2,1,2,3,41.7,1
168,"prog_3","cohort_2",28,"woman",1,3,"RA",4.5,6,55,1,1,2,1,1,3,3,3,3,3,61.5,1
169,"prog_6","cohort_1",25,"woman",1,6,"TA",3.1,3.2,77,2,2,3,3,2,3,5,3,3,4,19.4,1
170,"prog_1","cohort_3",30,"man",1,4,"RA",4.6,7.6,57,4,3,3,3,4,4,2,3,3,4,33.8,1
171,"prog_4","cohort_1",27,"man",0,2,"fellowship",7.2,4.3,51,3,3,2,3,2,4,3,4,4,5,49.2,0
172,"prog_5","cohort_3",23,"man",1,1,"RA",5.6,2.3,51,1,2,2,1,2,5,5,5,5,5,33.8,1
173,"prog_4","cohort_2",32,"woman",0,2,"RA",4.1,6.3,51,3,3,2,4,3,5,5,5,4,5,57.9,1
174,"prog_5","cohort_3",22,"man",0,6,"fellowship",3.7,5.8,47,2,2,3,2,3,1,1,2,1,2,34.4,1
175,"prog_4","cohort_2",30,"man",0,4,"TA",4.8,2.6,67,4,4,4,3,4,1,2,1,1,1,37,0
176,"prog_2","cohort_3",23,"man",1,3,"RA",4.5,2.8,56,3,3,2,3,3,2,2,2,3,2,34.2,1
177,"prog_4","cohort_1",29,"nonbinary",0,4,"TA",6.5,5.3,54,3,3,2,3,3,4,4,3,4,4,48.2,0
178,"prog_4","cohort_1",28,"woman",0,4,"RA",3.4,6.3,56,3,3,3,3,4,5,5,5,4,4,43.6,1
179,"prog_3","cohort_3",31,"nonbinary",1,1,"RA",5.2,7.4,42,2,3,3,2,3,5,4,5,5,5,53.9,1
180,"prog_3","cohort_1",29,"woman",1,3,"RA",3.5,3.5,45,1,2,2,1,1,4,5,5,5,5,53.9,1
181,"prog_5","cohort_2",29,"nonbinary",0,2,"fellowship",6.3,5.1,75,2,2,3,3,3,4,5,5,4,5,25.4,1
182,"prog_5","cohort_1",31,"man",1,3,"RA",6.9,3.6,62,3,3,4,3,4,4,4,5,5,4,31.7,0
183,"prog_1","cohort_3",25,"man",0,1,"RA",6.5,3.4,54,3,3,3,4,4,1,1,1,1,2,47,0
184,"prog_6","cohort_1",33,"woman",0,6,"TA",7.3,3.1,47,3,2,2,3,2,2,2,3,2,1,69.7,0
185,"prog_5","cohort_2",29,"man",1,3,"RA",5.6,3.1,52,2,1,2,1,2,2,2,2,2,1,41.6,0
186,"prog_1","cohort_3",26,"woman",1,2,"TA",7.5,2.9,53,4,4,4,4,3,4,5,5,5,4,51.2,1
187,"prog_2","cohort_2",27,"man",0,1,"fellowship",5.5,6.7,61,3,4,3,3,3,3,4,4,4,3,42.6,1
188,"prog_3","cohort_3",26,"woman",0,2,"TA",5.3,7.1,44,4,3,3,3,4,3,3,3,3,3,69.3,0
189,"prog_4","cohort_3",27,"man",0,2,"RA",4.7,4.3,25,5,4,4,4,4,3,4,4,2,3,44.2,1
190,"prog_1","cohort_1",32,"man",0,5,"TA",3.8,8.4,62,3,2,3,2,3,2,2,2,3,2,43.4,0
191,"prog_5","cohort_2",28,"nonbinary",0,5,"fellowship",6.3,4.7,53,4,3,3,3,4,5,5,5,5,5,29.8,1
192,"prog_6","cohort_3",27,"woman",0,3,"TA",1.7,2,70,3,4,4,2,4,2,2,2,3,2,27.2,1
193,"prog_1","cohort_2",29,"man",1,2,"fellowship",3.6,5.2,41,3,3,3,2,3,4,5,3,4,5,36.3,1
194,"prog_6","cohort_3",27,"man",0,1,"unfunded",3.2,4.5,63,2,2,3,2,2,3,3,3,3,3,39.6,0
195,"prog_4","cohort_2",28,"man",0,1,"TA",3.9,4.5,55,2,3,3,3,4,4,4,4,4,4,39.9,1
196,"prog_2","cohort_1",25,"woman",1,5,"fellowship",4.8,4.7,61,3,2,1,2,1,2,3,3,4,3,51.7,1
197,"prog_1","cohort_3",28,"woman",0,3,"RA",4.2,7,60,3,4,4,4,4,4,4,4,3,4,41.3,1
198,"prog_2","cohort_2",29,"nonbinary",0,2,"fellowship",6.7,3.7,49,4,4,3,4,4,1,1,2,1,1,60.4,0
199,"prog_1","cohort_1",25,"man",0,3,"fellowship",2.9,5.8,52,2,2,2,2,2,4,3,4,3,2,39.7,1
200,"prog_4","cohort_1",26,"man",0,3,"fellowship",4.3,6.6,61,3,2,2,4,3,4,5,3,5,5,53.4,0
201,"prog_1","cohort_2",28,"woman",1,4,"fellowship",3.9,3.9,67,3,2,2,2,2,5,4,5,4,4,37.7,1
202,"prog_1","cohort_1",21,"woman",0,1,"TA",3.7,1.9,40,4,4,5,4,3,2,3,2,3,3,28.8,1
203,"prog_4","cohort_3",26,"man",0,1,"TA",4.7,3.4,51,4,4,3,4,4,4,4,4,4,4,38.8,1
204,"prog_2","cohort_2",26,"nonbinary",1,2,"RA",4.7,3.7,59,4,3,3,4,3,4,4,4,4,3,27.5,1
205,"prog_3","cohort_3",22,"woman",0,1,"RA",4.4,4.7,48,3,3,3,4,4,5,4,4,4,5,38.4,0
206,"prog_3","cohort_2",27,"man",0,2,"TA",6,2.4,47,2,2,3,2,3,3,3,3,2,3,43.6,0
207,"prog_4","cohort_3",26,"woman",0,4,"TA",4.8,3.5,67,5,5,5,4,5,3,2,3,3,3,31.1,1
208,"prog_1","cohort_2",22,"man",0,1,"TA",6.7,5.9,70,2,3,2,3,3,4,3,4,4,3,45.1,0
209,"prog_4","cohort_1",29,"woman",1,2,"TA",5.4,5.8,54,4,4,5,4,4,4,4,4,4,4,67.8,0
210,"prog_1","cohort_2",30,"woman",0,3,"RA",8,6.1,65,4,4,4,4,4,4,2,3,3,5,57.5,1
211,"prog_3","cohort_2",28,"woman",0,4,"RA",5.5,6.3,28,4,3,3,3,4,3,3,3,1,3,68.1,0
212,"prog_5","cohort_2",32,"man",1,1,"RA",4.8,8.4,61,2,2,2,2,3,4,4,3,3,3,48.7,1
213,"prog_6","cohort_1",31,"woman",0,1,"TA",2.7,5.2,51,2,1,1,2,2,2,2,3,3,2,43.1,1
214,"prog_5","cohort_1",27,"woman",1,4,"fellowship",5,8.8,53,3,3,3,2,3,2,4,3,4,3,49.7,1
215,"prog_1","cohort_3",26,"nonbinary",1,2,"TA",6.3,4.7,50,4,4,3,3,4,3,4,3,2,3,46.7,1
